Season,Name,Team,wRCplus,TTO,playerid,new_TTO
2021,Will Smith,LAD,130,36.7%,19197,3670.0000000000005
2022,Will Smith,LAD,127,30.4%,19197,3040
2022,Willi Castro,DET,86,26.8%,17338,2680
2021,Willi Castro,DET,71,31.3%,17338,3130
2022,Willson Contreras,CHC,132,34.9%,11609,3490
2021,Willson Contreras,CHC,111,43.7%,11609,4370
2021,Willy Adames,- - -,120,42.9%,15986,4290
2022,Willy Adames,MIL,109,39.9%,15986,3990
2021,Wilmer Flores,SFG,112,26.4%,5827,2640
2022,Wilmer Flores,SFG,103,30.1%,5827,3010
2021,Xander Bogaerts,BOS,130,32.8%,12161,3279.9999999999995
2022,Xander Bogaerts,BOS,134,30.1%,12161,3010
2022,Yandy Diaz,TBR,146,26.3%,16578,2630
2021,Yandy Diaz,TBR,111,30.9%,16578,3090
2021,Yasmani Grandal,CHW,158,51.2%,11368,5120
2022,Yasmani Grandal,CHW,68,34.3%,11368,3429.9999999999995
2021,Yoan Moncada,CHW,120,41.4%,17232,4140
2022,Yoan Moncada,CHW,76,36.5%,17232,3650
2022,Yonathan Daza,COL,93,21.1%,15794,2110
2021,Yonathan Daza,COL,74,25.1%,15794,2510
2022,Yordan Alvarez,HOU,185,39.4%,19556,3940
2021,Yordan Alvarez,HOU,137,38.1%,19556,3810
2021,Yuli Gurriel,HOU,132,23.5%,19198,2350
2022,Yuli Gurriel,HOU,85,19.0%,19198,1900
